Sample	d_pre_nokat_clock	group
CURTIS_H003221_T01_01_WG01	0.463506419498258	IC10
CURTIS_H003221_T01_01_WG01	0	IC10
CURTIS_H003222_T01_01_WG01	0.122247544399598	HER2+
CURTIS_H003224_T01_01_WG01	0.240135689739241	HER2+
CURTIS_H004006_T01_01_WG01	0.359610983269762	ER+ High
CURTIS_H004006_T01_01_WG01	0.359088989336343	ER+ High
CURTIS_H004007_T01_01_WG01	0	ER+ Typical
CURTIS_H004009_T01_01_WG01	1.38105945424622	IC10
CURTIS_H004012_T01_01_WG01	1.27827887068453	ER+ High
CURTIS_H004012_T01_01_WG01	0.120291616262031	ER+ High
CURTIS_H004014_T01_01_WG01	0.111455725786924	ER+ High
CURTIS_H004017_T01_01_WG01	0.475628012783501	ER+ High
CURTIS_H004019_T01_01_WG01	0.283707823124161	ER+ Typical
CURTIS_H004020_T01_01_WG01	0.170043280558043	ER+ High
CURTIS_H004023_T01_01_WG01	0.334037294903504	ER+ Typical
CURTIS_H004024_T01_01_WG01	0.278965332488345	ER+ High
CURTIS_H004025_T01_01_WG01	2.89018129815263	IC10
CURTIS_H004026_T01_01_WG01	0.289203077738891	ER+ High
CURTIS_H004028_T01_01_WG01	0	ER+ High
CURTIS_H004030_T01_01_WG01	0.898536252123842	ER+ Typical
CURTIS_H004031_T01_01_WG01	0	ER+ High
CURTIS_H004031_T01_01_WG01	0	ER+ High
CURTIS_H004040_T01_01_WG01	0.125783632441437	ER+ Typical
CURTIS_H004041_T01_01_WG01	0.468847953361361	IC10
CURTIS_H004042_T01_01_WG01	0.75423173826886	ER+ Typical
CURTIS_H004046_T01_01_WG01	0.329237601634931	HER2+
CURTIS_H004046_T01_01_WG01	0.331855642193367	HER2+
CURTIS_H004048_T01_01_WG01	1.67294663424641	IC10
CURTIS_H004050_T01_01_WG01	0.219696800973079	ER+ High
CURTIS_H004052_T01_01_WG01	0.605048745463801	ER+ Typical
CURTIS_H004054_T01_01_WG01	0.177137962371481	IC10
CURTIS_H004055_T01_01_WG01	0.28442249661304	ER+ Typical
CURTIS_H004055_T01_01_WG01	0	ER+ Typical
CURTIS_H004060_T01_01_WG01	0.33316433508855	ER+ High
CURTIS_H004060_T01_01_WG01	0.172109173306825	ER+ High
CURTIS_H004068_T01_01_WG01	0.877165572255677	ER+ High
CURTIS_H004068_T01_01_WG01	0.42346089742678	ER+ High
CURTIS_H004069_T01_01_WG01	0.442826723786324	ER+ High
CURTIS_H004070_T02_01_WG01	0.188368454064411	ER+ High
CURTIS_H004071_T01_01_WG01	0	ER+ High
CURTIS_H004073_T01_01_WG01	0.462686129623462	ER+ High
CURTIS_H004074_T01_01_WG01	0.0576680679713708	ER+ High
CURTIS_H004076_T01_01_WG01	0.252386835008807	ER+ Typical
CURTIS_H004076_T01_01_WG01	2.90133883318352	ER+ Typical
CURTIS_H004081_T01_01_WG01	0.293586721334058	ER+ High
CURTIS_H004081_T01_01_WG01	0.159563609362949	ER+ High
CURTIS_H004084_T01_01_WG01	0.181775326067007	ER+ High
CURTIS_H004085_T01_01_WG01	0.46016159286094	ER+ Typical
CURTIS_H004086_T01_01_WG01	0	ER+ High
CURTIS_H004088_T01_01_WG01	0.164003426294482	ER+ High
CURTIS_H004088_T01_01_WG01	0.804648732131577	ER+ High
CURTIS_H004088_T01_01_WG01	0.39610343998277	ER+ High
CURTIS_H004092_T02_01_WG01	0.192494670983406	ER+ High
CURTIS_H004092_T02_01_WG01	3.14044332377876	ER+ High
CURTIS_H004093_T02_01_WG01	0.115246308551975	HER2+
CURTIS_H004103_T01_01_WG01	0.0700188631579803	HER2+
CURTIS_H004108_T01_01_WG01	0.316742251005903	ER+ Typical
CURTIS_H004110_T01_01_WG01	0	ER+ Typical
CURTIS_H004111_T01_01_WG01	0.387615627465536	ER+ Typical
CURTIS_H004114_T01_01_WG01	0.395391565422615	ER+ High
CURTIS_H004114_T01_01_WG01	0.361682092300534	ER+ High
CURTIS_H004114_T01_01_WG01	0	ER+ High
CURTIS_H004117_T01_01_WG01	0.160007960497821	ER+ High
CURTIS_H004123_T01_01_WG01	0.114115961492042	HER2+
CURTIS_H004131_T01_01_WG01	0.246462579972169	ER+ High
CURTIS_H004132_T01_01_WG01	0.197009778960697	ER+ Typical
CURTIS_H004140_T01_01_WG01	1.25463721149226	HER2+
CURTIS_H004142_T01_01_WG01	0.134545143438988	ER+ High
CURTIS_H004146_T01_01_WG01	0.419823323847829	ER+ Typical
CURTIS_H004146_T01_01_WG01	0.268996487729724	ER+ Typical
CURTIS_H004147_T01_01_WG01	1.85837827706604	HER2+
CURTIS_H004147_T01_01_WG01	0.551541034177477	HER2+
CURTIS_H004150_T01_01_WG01	0.297789377847268	IC10
CURTIS_H004152_T01_01_WG01	0.404689271425386	ER+ Typical
CURTIS_H004153_T01_01_WG01	0.253038100784817	HER2+
CURTIS_H004160_T01_01_WG01	0.464154694474567	ER+ Typical
CURTIS_H004164_T01_01_WG01	0.272339901818347	ER+ High
CURTIS_H004166_T01_01_WG01	0.612409397003644	ER+ Typical
CURTIS_H004167_T01_01_WG01	0.276632047496367	HER2+
CURTIS_H004167_T01_01_WG01	0.104195967842969	HER2+
CURTIS_H004168_T01_01_WG01	0.37001977343077	ER+ Typical
CURTIS_H004171_T01_01_WG01	0.224956471781323	ER+ High
CURTIS_H004175_T01_01_WG01	0.193536873058722	ER+ High
CURTIS_H004177_T01_01_WG01	0.227989589194783	ER+ High
CURTIS_H004180_T01_01_WG01	0.342677719218606	ER+ High
CURTIS_H004187_T01_01_WG01	1.11089311850492	IC10
CURTIS_H004188_T02_01_WG01	0.43760972600384	ER+ Typical
CURTIS_H004189_T01_01_WG01	0.0890760861749256	ER+ High
CURTIS_H004193_T01_01_WG01	0.908723312607963	IC10
CURTIS_H004194_T01_01_WG01	1.0790138279374	ER+ Typical
CURTIS_H004196_T01_01_WG01	0	ER+ Typical
CURTIS_H004197_T01_01_WG01	0.330101728916175	HER2+
CURTIS_H004203_T01_01_WG01	0.127411561665518	ER+ High
CURTIS_H004203_T01_01_WG01	0.449330600305682	ER+ High
CURTIS_H004205_T01_01_WG01	0.923413754917531	ER+ High
CURTIS_H004206_T01_01_WG01	0.300669167670891	ER+ Typical
CURTIS_H004207_T01_01_WG01	0.215220520179013	HER2+
CURTIS_H004212_T01_01_WG01	0.14343284958971	ER+ Typical
CURTIS_H004213_T01_01_WG01	0.242800614757056	HER2+
CURTIS_H004219_T01_01_WG01	0.155605477890184	HER2+
CURTIS_H004226_T01_01_WG01	0.269284071295596	ER+ High
CURTIS_H004228_T01_01_WG01	0	IC10
CURTIS_H004229_T01_01_WG01	0.280697956478489	ER+ Typical
CURTIS_H004230_T01_01_WG01	0.27600207598508	ER+ High
